,ID,Title,Year,Rating,Votes,Length,Genres
5454,TT1179258,Ch\xe9ri (2009),2009,6.1,4171,00 mins.,Comedy|Drama|Romance
5455,TT0094612,Action Jackson (1988),1988,4.7,4169,96 mins.,Action|Comedy|Crime|Thriller
5456,TT0300214,Morvern Callar (2002),2002,6.5,4165,97 mins.,Drama
5457,TT0120402,Ulee's Gold (1997),1997,7.1,4163,113 mins.,Drama
5458,TT0182060,D\xfcnyayi kurtaran adam (1982),1982,5.1,4159,91 mins.,Action|Adventure|Sci-Fi
5459,TT0045537,The Band Wagon (1953),1953,7.6,4156,00 mins.,Comedy|Musical|Romance
5460,TT0113500,Jury Duty (1995),1995,3.6,4155,88 mins.,Comedy
5461,TT0139151,Inferno (1999),1999,4.5,4153,95 mins.,Action|Crime|Thriller
5462,TT1483831,Lebanon (2009),2009,7.0,4150,93 mins.,Drama|War
5463,TT0118926,The Dancer Upstairs (2002),2002,6.9,4149,132 mins.,Drama|Thriller|Crime
5464,TT0099180,Bride of Re-Animator (1990),1990,6.0,4145,96 mins.,Comedy|Horror|Sci-Fi
5465,TT0102116,The Indian Runner (1991),1991,7.0,4144,127 mins.,Drama
5466,TT0382765,Jindabyne (2006),2006,6.4,4140,123 mins.,Crime|Drama|Mystery|Thriller
5467,TT0102587,Only Yesterday (1991),1991,7.7,4138,118 mins.,Animation|Drama|Romance
5468,TT0120036,Rosewood (1997),1997,7.0,4137,140 mins.,Action|Drama|History
5469,TT0098437,The Winter War (1989),1989,8.0,4137,195 mins.,Drama|History|War
5470,TT0101458,Until the End of the World (1991),1991,6.7,4131,179 mins.,Drama|Sci-Fi
5471,TT0082949,The Professional (1981),1981,7.6,4131,108 mins.,Action|Crime|Drama|Thriller
5472,TT0083642,The Best LiTTle Whorehouse in Texas (1982),1982,5.3,4122,114 mins.,Comedy|Musical
5473,TT0120389,Turbo: A Power Rangers Movie (1997),1997,2.6,4118,99 mins.,Action|Adventure|Family|Sci-Fi|Thriller
5474,TT0042276,Born Yesterday (1950),1950,7.6,4117,103 mins.,Comedy|Drama|Romance
5475,TT0435528,Whisper (2007),2007,5.8,4185,94 mins.,Crime|Drama|Horror|Thriller
5476,TT0085346,Class (1983),1983,5.6,4180,98 mins.,Comedy|Drama|Romance
5477,TT0210358,Things You Can Tell Just by Looking at Her (1999),1999,6.6,4179,109 mins.,Drama|Romance
5478,TT0499375,Guru (2007),2007,7.4,4171,166 mins.,Biography|Drama|Romance
5479,TT0430051,The Elementary Particles (2006),2006,6.7,4169,113 mins.,Drama|Romance
5480,TT0478024,Kill Zone (2005),2005,7.1,4169,93 mins.,Action|Crime|Drama|Thriller
5481,TT0106834,Even Cowgirls Get the Blues (1993),1993,4.0,4163,00 mins.,Comedy|Drama|Romance|Western
5482,TT0770810,How She Move (2007),2007,2.9,4160,94 mins.,Drama
5483,TT0095927,Punchline (1988),1988,5.7,4157,128 mins.,Comedy|Drama|Romance
5484,TT0087921,Places in the Heart (1984),1984,7.4,4156,111 mins.,Drama
5485,TT0120603,Beloved (1998),1998,5.7,4154,172 mins.,Drama|Horror|Mystery
5486,TT0258273,Lovely & Amazing (2001),2001,6.8,4153,91 mins.,Comedy|Drama|Romance
5487,TT0354668,Save the Green Planet! (2003),2003,7.4,4149,118 mins.,Comedy|Drama|Fantasy|Sci-Fi|Thriller
5488,TT0216625,Code Unknown: Incomplete Tales of Several Journeys (2000),2000,7.0,4148,118 mins.,Drama|Romance|War
5489,TT0315543,Open Hearts (2002),2002,7.7,4145,113 mins.,Drama|Romance
5490,TT0252684,Manic (2001),2001,7.4,4142,100 mins.,Drama
5491,TT0366943,Reconstruction (2003),2003,7.2,4139,00 mins.,Drama|Romance
5492,TT0081506,Shogun Assassin (1980),1980,7.3,4137,85 mins.,Action|Adventure|Drama
5493,TT0443527,The Hamiltons (2006),2006,5.2,4137,86 mins.,Drama|Horror|Thriller
5494,TT0120788,Permanent Midnight (1998),1998,6.1,4131,88 mins.,Biography|Drama|Romance
5495,TT0995829,XXY (2007),2007,7.3,4131,86 mins.,Drama
5496,TT0801526,The Tracey Fragments (2007),2007,6.0,4130,77 mins.,Drama
5497,TT0082966,The House by the Cemetery (1981),1981,6.1,4120,87 mins.,Horror
5498,TT0470833,Keloglan vs. the Black Prince (2006),2006,1.9,4117,00 mins.,Comedy
5499,TT0114671,Land and Freedom (1995),1995,7.5,4116,109 mins.,Drama|History|War
5500,TT0926762,Loft (2008),2008,7.4,4116,00 mins.,Crime|Drama|Mystery|Romance|Thriller
5501,TT0047834,Animal Farm (1954),1954,7.2,4111,72 mins.,Animation|Drama
5502,TT0081207,My Bodyguard (1980),1980,6.8,4111,96 mins.,Comedy|Drama|Family
5503,TT0827503,The Magician (2006),2006,7.4,4109,00 mins.,Comedy|Drama
5504,TT0089087,The Emerald Forest (1985),1985,6.8,4108,114 mins.,Action|Adventure|Drama
